                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.2369,                  1.075,                0.84409,                0.90125,                0.84796,                0.92689,                0.60547,                 1.1179,                 1.0316,                0.80947,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.1969,                 1.0073,                0.85175,                0.88126,                  0.846,                0.91629,                0.60136,                  1.156,                 1.0092,                0.81188,             0.00053906,             0.00053906,             0.00053906
                     55,                  1.179,                0.99609,                0.85096,                 0.9147,                0.83247,                0.91863,                0.60227,                 1.1465,                 1.0144,                0.81397,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.2101,                 1.0917,                0.83856,                0.95573,                0.83745,                0.93226,                0.64468,                 1.0256,                0.99286,                0.80992,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.1776,                0.97743,                0.84009,                0.96045,                0.84374,                0.93398,                0.64924,                 1.0108,                  1.008,                0.80779,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.1719,                 1.0031,                0.84007,                0.96305,                0.84087,                0.93697,                0.64751,                 1.0137,                 1.0236,                0.80661,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.1683,                 1.0351,                0.84463,                0.95322,                0.83959,                0.93976,                0.62032,                 1.0724,                 1.0299,                0.80852,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.2268,                0.99805,                0.83745,                0.95075,                0.83636,                0.94597,                0.61464,                 1.1341,                 1.0106,                0.80893,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.2061,                 1.0039,                0.84397,                0.94291,                0.85176,                0.94456,                0.62235,                 1.1051,                0.98531,                 0.8077,             0.00046206,             0.00046206,             0.00046206
                     62,                  1.174,                 1.0012,                 0.8473,                0.94135,                0.84481,                0.94633,                0.64001,                 1.0839,                0.95552,                0.80625,             0.00045107,             0.00045107,             0.00045107
                     63,                 1.2186,                  1.054,                0.84502,                0.95406,                 0.8501,                0.95018,                0.64151,                 1.0877,                0.94088,                0.80754,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.0791,                0.90615,                0.84624,                0.92054,                0.83966,                0.94039,                0.59444,                 1.1776,                0.93839,                0.81396,             0.00042907,             0.00042907,             0.00042907
                     65,                 1.2284,                 1.0073,                0.82889,                0.91609,                0.84969,                0.93864,                0.60184,                 1.1497,                0.94034,                  0.812,             0.00041807,             0.00041807,             0.00041807
                     66,                 1.1042,                0.89318,                0.82603,                0.93223,                 0.8656,                0.94799,                0.62737,                 1.0812,                0.94442,                0.80705,             0.00040707,             0.00040707,             0.00040707
                     67,                 1.1505,                0.92712,                0.82637,                0.93504,                0.87095,                0.94484,                0.63064,                 1.0741,                0.96992,                0.80763,             0.00039607,             0.00039607,             0.00039607
                     68,                 1.1789,                 0.9484,                0.84607,                0.94205,                0.87242,                0.93766,                0.64108,                 1.0687,                0.96438,                0.80599,             0.00038507,             0.00038507,             0.00038507
                     69,                 1.1173,                 0.9243,                0.82834,                0.94201,                0.87322,                0.93851,                0.64398,                 1.0397,                0.92644,                 0.8052,             0.00037407,             0.00037407,             0.00037407
                     70,                 1.1175,                0.89279,                0.83307,                0.93758,                 0.8613,                0.94061,                0.63236,                 1.0778,                0.91399,                 0.8085,             0.00036307,             0.00036307,             0.00036307
                     71,                 1.1995,                0.91684,                0.83895,                0.94077,                0.86141,                0.94208,                0.62302,                 1.1198,                0.92336,                0.81003,             0.00035208,             0.00035208,             0.00035208
                     72,                 1.2626,                 0.9883,                 0.8371,                0.94635,                0.86814,                0.94558,                0.63351,                 1.0845,                0.89219,                0.80947,             0.00034108,             0.00034108,             0.00034108
                     73,                 1.1217,                0.88719,                 0.8389,                0.93446,                0.86254,                0.94517,                0.63112,                 1.0572,                0.89799,                0.80739,             0.00033008,             0.00033008,             0.00033008
                     74,                 1.1435,                0.88911,                0.84278,                0.92116,                0.87548,                0.94184,                0.63455,                 1.0484,                0.90807,                0.80733,             0.00031908,             0.00031908,             0.00031908
                     75,                 1.1537,                0.92047,                0.82569,                0.93963,                0.87008,                0.94218,                0.63822,                 1.0385,                0.90392,                0.80619,             0.00030808,             0.00030808,             0.00030808
                     76,                 1.1205,                0.88442,                0.83652,                0.95981,                0.84667,                0.94727,                0.64541,                 1.0517,                0.87459,                0.80346,             0.00029708,             0.00029708,             0.00029708
                     77,                 1.0752,                0.85675,                0.83257,                0.97181,                0.83548,                0.94792,                0.64399,                 1.0548,                0.86874,                0.80386,             0.00028608,             0.00028608,             0.00028608
                     78,                 1.0443,                0.85703,                0.82584,                0.95656,                0.85121,                0.94566,                0.64508,                 1.0491,                0.86491,                0.80476,             0.00027508,             0.00027508,             0.00027508
                     79,                  1.063,                0.86571,                 0.8356,                0.96729,                0.84261,                0.94387,                0.64387,                 1.0454,                0.87607,                0.80482,             0.00026408,             0.00026408,             0.00026408
                     80,                 1.1409,                0.88321,                0.82753,                0.98166,                 0.8272,                0.94018,                0.64899,                 1.0367,                0.89853,                0.80376,             0.00025309,             0.00025309,             0.00025309
                     81,                 1.0643,                0.84257,                0.82385,                0.96008,                 0.8395,                0.93931,                0.64345,                 1.0343,                0.89391,                0.80285,             0.00024209,             0.00024209,             0.00024209
                     82,                 1.1109,                0.85848,                0.83837,                0.95246,                0.85243,                0.94031,                0.63591,                 1.0463,                0.88643,                 0.8034,             0.00023109,             0.00023109,             0.00023109
                     83,                 1.1057,                0.88052,                0.83717,                 0.9285,                0.86546,                0.94079,                0.63781,                 1.0606,                0.88701,                0.80392,             0.00022009,             0.00022009,             0.00022009
                     84,                 1.0945,                0.83863,                 0.8313,                0.92143,                0.87247,                0.93722,                0.63602,                 1.0583,                0.89592,                0.80355,             0.00020909,             0.00020909,             0.00020909
                     85,                 1.0117,                0.83212,                0.82696,                0.92405,                0.87635,                0.93535,                0.64409,                 1.0393,                0.88827,                0.80263,             0.00019809,             0.00019809,             0.00019809
                     86,                 1.0636,                0.83986,                 0.8415,                0.91172,                0.88143,                 0.9343,                0.65315,                 1.0331,                0.88427,                0.80316,             0.00018709,             0.00018709,             0.00018709
                     87,                 1.0762,                0.84923,                0.80218,                0.91726,                0.88345,                0.93537,                0.64881,                 1.0409,                0.89117,                  0.804,             0.00017609,             0.00017609,             0.00017609
                     88,                 1.0871,                0.85781,                0.82243,                0.90032,                0.89124,                0.93606,                0.64632,                 1.0563,                0.89513,                 0.8048,             0.00016509,             0.00016509,             0.00016509
                     89,                  1.068,                0.82862,                 0.8215,                 0.8948,                0.89506,                0.93646,                0.64144,                 1.0708,                0.88792,                0.80424,              0.0001541,              0.0001541,              0.0001541
                     90,                  1.057,                0.86117,                 0.8282,                0.88463,                0.89652,                0.93688,                0.63148,                 1.0843,                0.88572,                0.80425,              0.0001431,              0.0001431,              0.0001431
                     91,                 1.0045,                0.94335,                0.82399,                0.92852,                 0.8556,                0.93565,                0.61559,                 1.0976,                0.88758,                0.80506,              0.0001321,              0.0001321,              0.0001321
                     92,                0.99335,                0.88826,                0.82395,                0.87341,                0.89599,                0.93364,                0.59646,                 1.1414,                0.90335,                0.80923,              0.0001211,              0.0001211,              0.0001211
                     93,                 1.0278,                0.96071,                0.83565,                0.86536,                0.91142,                0.93314,                0.60096,                 1.1347,                  0.915,                0.80886,              0.0001101,              0.0001101,              0.0001101
                     94,                 1.0138,                0.90189,                 0.8294,                0.86716,                0.91382,                0.93309,                0.60747,                 1.1039,                0.91911,                  0.806,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.99138,                 0.8992,                0.81552,                0.92576,                0.85439,                 0.9317,                0.62088,                 1.0744,                0.91708,                0.80378,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.98595,                0.87103,                0.83245,                 0.9165,                0.87587,                0.93282,                0.63866,                 1.0373,                0.90651,                0.80095,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                 1.0046,                0.90007,                0.80953,                0.92124,                 0.8723,                0.93372,                 0.6449,                 1.0321,                0.90061,                0.80008,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.97578,                0.85492,                 0.8201,                0.91944,                0.87112,                0.93489,                0.64847,                  1.033,                 0.8981,                0.79967,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.92883,                0.82286,                0.83461,                0.92156,                0.86998,                0.93688,                0.64931,                 1.0327,                0.89506,                0.79942,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.95771,                0.86036,                0.81435,                0.92136,                0.86213,                0.93818,                0.64368,                 1.0324,                0.88929,                0.79884,             3.3108e-05,             3.3108e-05,             3.3108e-05
